Type,ID,Points,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,Explanation
MC,634906,"",<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs (N/2)<sup>3</sup> operations. Algorithm B performs N<sup>2</sup> operations. Under what conditions does algorithm A offer strictly better performance?</p>,A,<p>N &lt;= 7</p>,<p>N &lt;= 8</p>,<p>N &gt; 8</p>,<p>For all N</p>,<p>For no N</p>,"","","","","","<p>For N &lt;= 7, (N/2)<sup>3</sup> &lt; N<sup>2</sup>.</p>"
MC,632474,"","
<p>Identify the bug in the following Java code (if any):</p>
<p><br><code>public boolean search(T item,ListADT&lt;T&gt; list){ // 1</code></p>
<pre lang=""text/x-java"">   if (list == null) // 2
      return false; // 3
   else if (list.first()==item) // 4
      return true; // 5
   else // 6
      return this.search(item, list.rest()); // 7
} // 8
</pre>
",D,<p>There is no base case</p>,<p>The problem is not self-similar</p>,<p>The problem does not get&nbsp;smaller</p>,<p>There are no bugs</p>,<p>None of the above</p>,"","","","","","
<p>For a recursive solution to a problem, you need three things:<br>(1) a base case (where the problem can be solved without recursion)<br>(2) a self-similar problem (one that contains similar problem(s) to itself)<br>(3) a way of making the problem smaller so you get closer to the base case</p>
<p>Here (2) is satisfied -- lists contain smaller lists. (1) is satisfied by lines 2-5 of the method. And (3) is satisfied because line 7's recursive call takes the rest of the list as a parameter, rather than the whole list.</p>
"
MC,634918,"",<p>Suppose QueueADT is implemented using a singly linked list. What is the lowest Big-Oh time complexity that can be achieved for an enqueue&nbsp;method?:</p>,A,<p>O(1)</p>,<p>O(log<sub>2</sub> n)</p>,<p>O(n)</p>,<p>O(n<sup>2</sup>)</p>,<p>none of the above</p>,"","","","","","<p>If you keep a pointer to the last element of the queue, then the enqueue method just needs a fixed number of statements, which are the same independent of the size of the queue.&nbsp;</p>"
MC,633554,"",<p>What terminates a failed linear probe in a full hashtable?</p>,E,<p>The end of the array</p>,<p>A deleted node</p>,<p>A null entry</p>,<p>A node with a non-matching key</p>,<p>Revisiting the original hash index</p>,"","","","","","<p>A null entry will not appear in a full hashtable. Seeing the end of the array isn't correct, since we need to examine all elements, including those that appear before our original hash index. A node with a non-matching key is what started our probe in the first place. The purpose of leaving a deleted node in the table is so that probing may proceed past it.&nbsp;Revisiting the original hash index means we've looked at every entry and determined the item doesn't appear in the table.</p>"
MC,632810,"",<p>Which of the following assertions is <em>incorrect</em>?</p>,A,<p>A Python statement may return a value</p>,"
<p>A Python expression may return a value</p>
",<p>A Python statement may produce a side effect</p>,<p>A Python expression may produce a side effect</p>,"<p>None of the above (i.e., all are correct)</p>","","","","","","
<p>Basically, a statement in Python is a special kind of function that doesn't return a value.&nbsp; Statements are things like <code>print</code> (in Python 2.x but not Python 3) and <code>import</code>.</p>
<p>I think this is not a great question to put on a CS-1 exam beacuse it relies on terminology (statement, expression, side-effect) that doesn't really mean much until CS-2 or later.</p>
"
MC,633665,"","
<p>Consider the following class for a Ninja:</p>
<pre lang=""text/x-java"">public class Ninja {
  private int honor;
  public Ninja(int h) {
   this.honor=h;
  }
}
</pre>
<p>&nbsp;</p>
<p>Suppose we instantiate two Ninjas like this:</p>
<pre lang=""text/x-java"">Ninja n1=new Ninja(50);
Ninja n2=new Ninja(50);
</pre>
<p>&nbsp;</p>
<p>Is the following statement True, False, or It Depends:</p>
<p>n1 == n2</p>
",B,<p>True</p>,<p>False</p>,"
<p>It depends</p>
<p>(Note:&nbsp; Be ready to explain what it depends upon during the discussion phase of this question)</p>
",,,"","","","","","
<p>These two references are not equal because they reference different instances.</p>
<p><img src=""img/10.png"" alt="""" width=""523"" height=""261""></p>
"
MC,634189,"",<p>What is<strong> not</strong> a property of a max-heap?</p>,C,<p>It is complete</p>,<p>A node&rsquo;s value is less than or equal to that of its parent</p>,<p>Its values are sorted in when printed in level order</p>,<p>Its root is the maximum element in the tree</p>,,"","","","","",<p>A max-heap need not be sorted.</p>
MC,633882,"",<p>Barack Obama wants to know the most efficient way to sort a million 32-bit integers. He knows it&rsquo;s not bubble sort. What is?</p>,D,<p>Heapsort</p>,<p>Insertion sort</p>,<p>Mergesort</p>,<p>Radix sort</p>,<p>Quicksort</p>,"","","","","","
<p>Radix sort will be O(n) and works nicely on integers; at such a large scale it will outperform the O(nlgn) sorting algorithms.</p>
<p>(question is a reference to http://www.youtube.com/watch?v=k4RRi_ntQc8 )</p>
"
MC,634250,"","
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 2</strong> so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
",A,<p>0</p>,<p>1</p>,<p>aString.size()</p>,<p>aString.length</p>,<p>aString.length() - 1</p>,"","","","","","<p>This method must examine each character in the given string to see if it is 'A' or 'a', and uses a loop to do so. &nbsp;The variable <code>counter</code> is being used as a loop index, and by imagining what will fill in other blanks, is also being used to keep track of the position of the current character in the string that is being examined. &nbsp;Since line 7 methodically increases <code>counter</code> on each loop iteration, it must be traversing left-to-right through the string, so zero is the best choice for its initial value.</p>"
MC,633561,"",<p>You are writing a depth-first search on a platform that doesn't support recursion. What data structure can help you complete your task?</p>,A,<p>stack</p>,<p>queue</p>,<p>priority queue</p>,<p>hashtable</p>,<p>linked list</p>,"","","","","","<p>As you visit nodes, if you push their neighbors on a stack, the neighbors will be the first popped off when you need to backtrack. This behavior is what makes a depth-first search depth-first.</p>"
MC,632571,"",<p>The worst-case time complexity of radix sort is:</p>,C,<p>O(1)</p>,<p>O(n)</p>,<p>O(k n)</p>,<p>O(n<sup>2</sup>)</p>,<p>none of the above</p>,"","","","","","<p>n is the number of items to be sorted, as usual, and k is the number of digits in the largest number in the list. Radix sort processes the entire list (n numbers) once for each of the k digits in the largest number in the list, so the work done is proportional to n*k.&nbsp;</p>"
MC,632572,"",<p>A chained hash table has an array size of 512. What is&nbsp;the maximum number of entries that can be placed in&nbsp;the table?</p>,E,<p>256</p>,<p>511</p>,<p>512</p>,<p>1024</p>,<p>There is no maximum.</p>,"","","","","","<p>In a hashtable with chaining, each element is assigned to a particular cell in the array (a ""bucket"") using the hash function. Each bucket has a pointer to the start of a linked list, and the elements assigned to that bucket are stored in the linked list.&nbsp;</p>"
MC,634253,"","
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 6</strong> so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
",B,<p>0</p>,<p>1</p>,<code>counter</code>,<code>aString.length()</code>,<code>aString.charAt(count)</code>,"","","","","","<p>The variable <code>totalA</code> is being used as an accumulator to keep track of how many A's have been seen so far as the loop progresses. &nbsp;The if condition inside the loop is intended to detect whether the current character is an ""A"", and so the variable <code>totalA</code> should be incremented each time the condition is true. &nbsp;Therefore, the best answer for Line 6 is 1, so that <code>totalA</code> is incremented.</p>"
MC,632766,"","
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &lt; y[bestSoFar] )       // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
",B,<p>line 1</p>,<p>line2</p>,<p>line3</p>,<p>line4</p>,,"","","","","","
<p>line 2 should be<code> if ( y[i] &lt; bestSoFar )</code></p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">The other three lines use bestSoFar to remember the best VALUE seen thus far, whereas the buggy line is using bestSoFar as if bestSoFar contains the POSITION seen thus far.</span></p>
"
MC,634282,"",<p>What is the size of the largest max-heap which is also a BST?</p>,A,<p>2</p>,<p>1</p>,<p>4</p>,<p>3</p>,,"","","","","","<p>You can have a left child of the root, but as soon as you add the right child, it falls apart.</p>"
MC,632764,"","
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &lt; bestSoFar )          // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = i;&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
",C,<p>line 1</p>,<p>line2</p>,<p>line3</p>,<p>line4</p>,,"","","","","","
<p>line 3 should be <code>bestSoFar = y[i];</code></p>
<code>The buggy code is remembering an array position, but the correct code remembers the value.</code>
"
MC,618493,"","
<p>How many objects and object reference would we have if the following code is executed?</p>
<p>Student first_st = new Student();</p>
<p>Student second_st = new Student();</p>
<p>Student third_st = second_st;</p>
",B,"<p>3, 2</p>","<p>2, 3</p>","<p>2, 2</p>","<p>3, 3</p>",,"","","","","","<p>2, 2</p>"
MC,633574,"","<p>Suppose you try to perform a binary search on the unsorted array {1, 4, 3, 7, 15, 9, 24}. How many of the items in this array will be found if they are searched for?</p>",C,<p>3</p>,<p>4</p>,<p>5</p>,<p>6</p>,<p>0</p>,"","","","","","<p>7, 4, 9, 24, and 1 will be found if searched for. 15 and 3 will not, since they lie to the wrong side of a subrange's midpoint.</p>"
MC,633668,"","
<p>Consider the following class for a Ninja:</p>
<pre lang=""text/x-java"">public class Ninja {
  private int honor;
  public Ninja(int h) {
    this.honor=h;
  }
}
</pre>
<p>&nbsp;</p>
<p>Suppose we instantiate two Ninjas like this:</p>
<pre lang=""text/x-java"">Ninja n1=new Ninja(50);
Ninja n2=new Ninja(50);
</pre>
<p>&nbsp;</p>
<p>Is the following statement True, False, or It Depends (i.e. depends on a factor external to this question)</p>
<p>n1.equals(n2)</p>
",B,<p>True</p>,<p>False</p>,"
<p>It depends</p>
<p>(Be ready to discuss what it depends on when we get to the discussion phase of this question)</p>
",,,"","","","","","
<p>The equals() method has not been overloaded, so it's using the default implementation of equals() in Java, which falls back on ==.</p>
<p>This is sort of a trick question, but it's a reasonably common error pattern in CS-2.</p>
"
MC,634432,"",<p>Dummy question: Bloom tags.&nbsp;</p>,B,<p>blaha</p>,<p>blaha</p>,<p>blaha</p>,,,"","","","","",<p>This question has a tag for each one of the Bloom tags so we can see how many questions there are of each. (Note: delimiters are included in case of errors).</p>
MC,631541,"","
<p>How many number will be printed if n = 5?</p>
<p>public static void cSeries(int n) {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(n + "" "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (n == 1) return;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (n % 2 == 0) cSeries(n / 2);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; else cSeries(3*n + 1);</p>
<p>}</p>
",D,<p>3</p>,<p>4</p>,<p>5</p>,<p>6</p>,,"","","","","",<p>5</p>
MC,632300,"","
<p>For Club Scripting, to be a member a person must be aged 15 or older, but less than<br>50. What values would you use to boundary test a script designed to check if a<br>person was a suitable age to join?</p>
",D,"<p>14, 15, 50, 51</p>","<p>15, 16, 50, 51</p>","<p><br>15, 16, 49, 50</p>","<p><br>14, 15, 49, 50</p>","<p>13, 15, 49, 52</p>","","","","","",<p>The boundary values are those at the boundary and those respectively one before and one past the boundary</p>
MC,634931,"","
<p>Consider a picture that is x pixels wide and y pixels tall. &nbsp;Furthermore, consider storing the x*y pixels in a one-dimensional array which stores the pixels in a left-to-right, top-to-bottom manner.</p>
<p>Consider the following code:</p>
<p>def pixelSwap (pixels):<br>&nbsp; &nbsp; &nbsp;pixCount = len(pixels) - 1<br>&nbsp; &nbsp; &nbsp;for p in range (0, len(pixels)/2):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; tempPixel = pixels[p]<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; pixels[p] = pixels[pixCount - p]<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; pixels[pixCount - p] = tempPixel</p>
<p>If the array of pixels originally represented the following picture:</p>
<p><img src=""img/11.jpg"" alt=""no description""></p>
<p>Which of the following pictures represents the pixel array after invoking pixelSwap?</p>
",D,<p>The picture is unchanged.</p>,<p>The picture is rotated 90 degrees clockwise.</p>,<p>The picture is rotated 90 degrees counterclockwise.</p>,<p>The picture is rotated 180 degress.</p>,<p>None of the above.</p>,"","","","","","<p>The first pixel becomes the last, the second pixel, becomes the second last, etc. &nbsp;This is a list reversing algorithm. &nbsp;For a picture, the result is to rotate it 180 degrees.</p>"
MC,634252,"","
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 5</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
",E,<code>aString.charAt(counter)</code>,<code>aString.substring(counter)</code>,<code>aString.charAt(counter).toUpperCase()</code>,<code>aString.substring(counter).toUpperCase()</code>,"<code>aString.substring(counter, counter + 1).toUpperCase()</code>","","","","","","<p>While both <code>charAt()</code> can be used to examine a single <code>char</code> in a string, <code>char</code> is a primitive type without any methods. &nbsp;Since the condition on Line 5 uses the <code>equals()</code> method to compare against another String value, the expression used to fill in the blank must produce a String object, so the <code>substring()</code> method is a better fit. &nbsp;The <code>substring()</code> method takes two parameters--a starting index and an ending index one past the end of the substring--and since the method counts both upper case and lower case A's, the result should be converted to upper case form before testing for equality against <code>""A""</code>. &nbsp;Thus, the best answer is <code>aString.substring(counter, counter + 1).toUpperCase()</code>.</p>"
MC,634932,"",<p>You need to traverse a singly-linked list in reverse. What's the best worst-case performance you can achieve?</p>,C,<p>O(1)</p>,<p>O(log N)</p>,<p>O(N)</p>,<p>O(N log N)</p>,<p>O(N<sup>2</sup>)</p>,"","","","","","<p>Iterate through the list in the forward direction, but prepend each node on a second list as you do. Then iterate through the second list, which will be in the desired reverse order and traversable in O(N) time.</p>"
MC,632271,"",<p>Which data structure&nbsp;can be used to implement an abstract datatype&nbsp;such as the StackADT or QueueADT?</p>,C,<p>an array</p>,<p>a linked list</p>,<p>both</p>,<p>neither</p>,,"","","","","","<p>StackADT and QueueADT can both be implemented with either an array or a stack. Either may be the better choice, depending on the purpose of the program and the nature of the data being stored.&nbsp;</p>"
MC,632278,"",<p>Which data structure uses space more efficiently if the program is storing substantially less data than expected?</p>,B,<p>An array</p>,<p>A linked list</p>,<p>They are both the same</p>,,,"","","","","","<p>For an array, you must set aside a block of memory in advance. A linked list only creates nodes for those elements that are actually contained in the list.&nbsp;</p>"
MC,617507,"","
<p>How many objects are created in the following declaration?</p>
<p>String[] names = new String[10];</p>
",B,<p>0</p>,<p>1</p>,<p>10</p>,<p>11</p>,<p>None of the above</p>,"","","","","",<p>None of the above</p>
MC,632880,"","<p>We say indexing is fast if it's done in O(1) time, searching is fast if done in O(lg N) time, and inserting and deleting are fast if done in O(1) time. Compared to other data structures, unsorted linked lists offer:</p>",D,"<p>slow indexing, slow search, slow insertions and deletions.</p>","<p>fast indexing, fast search, slow insertions and deletions.</p>","<p>fast indexing, slow search, slow insertions and deletions.</p>","<p>slow indexing, slow search, fast insertions and deletions.</p>","<p>slow indexing, fast search, fast insertions and deletions.</p>","","","","","","<p>Linked lists do not support fast indexing. To get at element i, one must traverse the list i steps. Slow indexing makes for slow searching, as the binary search relies upon fast indexing to retrieve the middle element. Insertions and deletions, on the other hand, can be done in constant time, as only one or two neighboring links are affected.</p>"
MC,634930,"","
<p>Consider the following code snippet that copies elements (pixels) from one 2-d array (called pict), with maximum dimensions of maxWidth and maxHeight into another 2-d array called canvas.</p>
<p>canvas = [][]<br>for row in range (0, maxHeight):<br>&nbsp; &nbsp; for col in range (0, maxWidth):<br>&nbsp; &nbsp; &nbsp; &nbsp; origPixel = pict[col][row]<br>&nbsp; &nbsp; &nbsp; &nbsp; canvas[width-1-col][row = origPixel</p>
<p>If one were to display canvas, how would it compare to the orignal picture (as represented by pict)?</p>
",A,<p>Rotated 180 degrees around the vertical center line/column.</p>,<p>Rotated 180 degrees around the horizontal center line/row.</p>,<p>Rotated left 90 degrees.</p>,<p>Rotated right 90 degrees.</p>,<p>Rotated 180 degrees.</p>,"","","","","","<p>Each pixel remains on the same row (line) that it originally was on. &nbsp;For any given row, the leftmost pixel swaps positions with the rightmost. &nbsp;The second pixel in a row swaps positions with the second last pixel in that row, etc. &nbsp;Hence, the picture is rotated across the vertical center line.</p>"
MC,634192,"",<p>What is a shorter way to write <code>if(p == NULL)</code> ?</p>,B,<p>if(p)</p>,<p>if(!p)</p>,,,,"","","","","",<p>Answer is B.</p>
MC,632312,"",<p>An example of something that could be built using&nbsp;a QueueADT is a structure that models:</p>,C,<p>The undo operation in a word processor</p>,<p>the back button in a web browser</p>,<p>the customers waiting to talk to an online&nbsp;helpdesk</p>,"<p>a hundred names in alphabetical order, where&nbsp;names are added and removed frequently</p>",<p>the roads and intersections in a city</p>,"","","","","","
<p>Choices A and B are applications where when you delete, you need to delete the item that was added most recently (a LIFO structure). This is not possible in a queue, where you always delete the item that was added *first*.</p>
<p>Choice D is an application where you need to be able to delete from the beginning, middle, or end of the structure, something that is also impossible in a queue.&nbsp;</p>
<p>Choice E is an application where a element (an intersection) could be connected to several other elements. This is also impossible in a queue.</p>
<p>Choice C is the only one where it makes sense to retrieve the elements in the order in which they arrived.&nbsp;</p>
"
MC,633221,"","<p>This sorting algorithm splits the collection into two halves, sorts the two halves independently, and combines the results.</p>",E,<p>selection sort</p>,<p>insertion sort</p>,<p>bubble sort</p>,<p>quick sort</p>,<p>merge sort</p>,"","","","","","<p>Merge sort splits the collection, sorts the two halves, and merges them.</p>"
MC,633243,"",<p>Locating a new node's insertion point in a binary search tree stops when</p>,A,<p>We reach a null child.</p>,<p>We find a node greater than the node to be inserted.</p>,<p>We reach the tree's maximum level.</p>,<p>We find a node lesser than the node to be inserted.</p>,<p>We find a node without any children.</p>,"","","","","",<p>Finding nodes less than or greater than the new node happens frequently as we traverse the tree. Tree's don't have maximum levels. The insertion point isn't necessarily a leaf node. The remaining option of stopping when we reach null is the correct answer because we have found the new node's parent node.</p>
MC,634173,"","<p>What are hash functions<strong> not</strong> used for? (Or at least, should not be used for.)</p>",C,<p>Storing values in hash tables</p>,<p>Checking file integrity</p>,<p>Encrypting passwords</p>,<p>Digital signatures on files</p>,,"","","","","","<p>Hash functions should be used to store passwords, but not to encrypt them!</p>"
MC,617508,"","
<p>How many objects are created in the following declaration?</p>
<code>String name;</code>
",A,<p>0</p>,<p>1</p>,<p>This declaration causes a run-time error</p>,<p>It is not legal to write this declaration in Java</p>,,"","","","","",<p>It is not legal to write this declaration in Java</p>
MC,634194,"","<p>Nathan is on the run (apparently the US is about to invade Canada). He needs to grab food.<br>Each piece of food around him has a nutritional value, and a weight. He wants to put the<br>most calories in his backpack, but it can only hold up to certain weight. What should he<br>optimize for when deciding which foods to bring?</p>",B,<p>The value of food</p>,<p>The value / weight ratio of food</p>,<p>The weight / value ratio of food</p>,<p>The weight of food</p>,,"","","","","",<p>Greedy approach to fractional knapsack.</p>
MC,629973,"","<p>Suppose you are defining a Java <code>ProductItem</code> class to store information about the inventory in a store, and you want to give the class an instance variable for the price of that item. Which of the following is the best datatype for the instance variable that models the price?</p>",E,<code>double</code>,<code>float</code>,<code>int</code>,<code>String</code>,<p>a user-defined <code>Money</code> class</p>,"","","","","","<p>Arguments can be made for any of these choices (except perhaps ""int""). I would give <code>Money</code> an edge, because a user-defined class allows you to write methods to display the value properly, do arithmetic on it, and perhaps convert it to different currencies. But I'm going to tag this as a question with more than one answer.&nbsp;</p>"
MC,634905,"","
<pre lang=""text/x-java"">1.public class FirstApp extends wheels.users.Frame {
2.    private wheels.users.Ellipse _ellipse;
3.
4.    public FirstApp() {
5.       _ellipse = new wheels.users.Ellipse();
6.    }
7.
8.    public static void main(String[] args) {
9.       FirstApp app = new FirstApp();
10.   }
11.}
</pre>
<p>&nbsp;</p>
<p>What does line 2 accomplish (cause to happen)?</p>
",C,"
<p><code>wheels.users.Ellipse</code> is given <code>_ellipse</code> as an alias</p>
",<p>An invisible <code>Ellipse</code> is drawn on the screen</p>,"
<p><code>_ellipse</code> is declared as a <code>wheels.users.Ellipse</code></p>
",<p><code>wheels.users.Ellipse</code> is set to be a <code>private</code> object</p>,<p><code>_ellipse</code> is instantiated as a <code>wheels.users.Ellipse</code></p>,"","","","","","<p>Remember that in Java we need to declare variables, and then instantiate them (using new).&nbsp; Line 2 is simply a declaration -- the variable gets instantiated (in line 5) when a FirstApp gets instantiated.</p>"
MC,632876,"","<p>We say indexing is fast if it's done in O(1) time, searching is fast if done in O(lg N) time, and inserting and deleting are fast if done in O(1) time.&nbsp;Compared to other data structures, unsorted arrays offer:</p>",C,"<p>slow indexing, slow search, slow insertions and deletions.</p>","<p>fast indexing, fast search, slow insertions and deletions.</p>","<p>fast indexing, slow search, slow insertions and deletions.</p>","<p>slow indexing, slow search, fast insertions and deletions.</p>","<p>slow indexing, fast search, fast insertions and deletions.</p>","","","","","","<p>Unsorted arrays can be indexed in constant time (which is fast), searched in O(N) time (which is not as good as O(lg N)), and restructured in O(N) time (which is not as good as O(1) time).</p>"
MC,634933,"","
<p>One of the things in Java that allows us to use polymorphism is that the declared type and actual type of a variable may be different.</p>
<p>In Java, the actual type of a parameter or variable&rsquo;s value can be any concrete class that is</p>
",D,"<p>the same as the declared type, or any subclass of the declared type (if the declared type is a class)</p>",<p>any class that <code>implements</code> the declared type (if the declared type is an interface)</p>,<p>any subclass of a class that <code>implements</code> the declared type (if the declared type is an interface)</p>,"<p>A, B, and C above.</p>","<p>A and B above, but not C</p>","","","","","","
<p>The rule of thumb is that the declared type is the same or more abstract than the actual type.&nbsp; If the declared type is a class, the things that are equally or less abstract are its descendants -- a subclass specializes a class.&nbsp; If declared type is an interface, it is an abstraction of any class that implements it, or by the relationship between classes and its descendants, any class that is a subclass of something that implements it.</p>
<p>Java wants a guarantee that the actual type will have the declared type's methods.&nbsp; That can be via inheritance or implementing an interface, or a combination of the two.</p>
"
MC,632218,"",<p>An example of something that could be implemented using&nbsp;a Stack is:</p>,D,<p>The undo operation in Word</p>,<p>The back button in a web browser</p>,<p>A postfix calculator</p>,<p>All of the above</p>,<p>Items (A) and (B) only</p>,"","","","","","<p>Anytime you're solving a problem where you're adding and removing data and you always need to remove the item that was added most recently is suited to a Stack. This is called a last-in-first-out property, or LIFO. Back buttons, the undo operation, and postfix calculators all have the last-in-first-out property.&nbsp;</p>"
MC,630951,"","
<p>Suppose you are writing software for a helpdesk. Each request is entered into the system as it arrives.&nbsp;</p>
<p>Which of the following abstract datatypes would be the best choice to ensure that the requests are handled in exactly the same order in which they arrive?</p>
",B,<p>A Stack</p>,<p>A Queue</p>,<p>A List</p>,<p>A PriorityQueue</p>,<p>A Dictionary</p>,"","","","","",<p>A Queue is the only abstract datatype where elements are removed in exactly the same order that they arrived in.&nbsp;</p>
MC,617450,"","
<p>If an inorder traversal of a complete binary tree visits the nodes in the order ABCDEF (where each letter is the value of a node), which order are the nodes visited during an postorder traversal?</p>
",E,<p>ABDECF</p>,<p>DEBFCA</p>,<p>DBFACE</p>,<p>DBACFE</p>,<p>ACBEFD</p>,"","","","","",<p>DBACFE</p>
MC,633269,"",<p>What is not true about a binary search tree?</p>,B,<p>It is a binary tree</p>,<p>It is a perfect tree</p>,<p>The leftmost node is the smallest node in the tree</p>,"<p>When printed with inorder traversal, it will be sorted</p>",,"","","","","",<p>BSTs need not be perfect.</p>
MC,632266,"",<p>Suppose you are trying to choose between an array and a singly linked list to store the data in your Java program. Which arguments would correctly support one side or the other?</p>,D,<p>Linked lists are better suited to a program where the amount of data can change unpredictably.&nbsp;</p>,<p>Arrays provide more efficient access to individual elements.&nbsp;</p>,<p>Linked lists provide more efficient access to individual elements.&nbsp;</p>,<p>A and B only</p>,"<p>A, B, and C</p>","","","","","","<p>Array elements can be accessed in constant time, but access to an element of a linked list is O(n), so B is correct and C is incorrect. A is also correct, because arrays require you to guess how much memory will be needed and set aside a fixed amount, while linked lists use memory as needed for the data that are being stored. Since A and B are correct and C is not, the answer is D.</p>"
MC,633398,"","<p>The insertion sort operates by maintaining a sorted list. When a new element is added, we traverse the list sequentially until will find the new element's appropriate location. Suppose instead that the new location was found using a binary search instead of a sequential search. What is the complexity of this new binary insertion sort?</p>",E,<p>O(N)</p>,<p>O(log N)</p>,<p>O(N + log N)</p>,<p>O(N * log N)</p>,<p>O(N<sup>2</sup>)</p>,"","","","","","<p>The binary search will indeed speed up finding the location of the newly added object. However, we still have the problem of shifting all subsequent elements. This algorithm, like the regular insertion sort, is O(N<sup>2</sup>).</p>"
