Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"You are tasked to chose a sorting algorithm which will take the same time to sort any two lists with the same number of elements.Which one fits the requirements from the list below?
","Selection Sort
","Quick Sort with a median of three implementation
","Insertion Sort
","Bubble Sort
",,"Selection Sort: Best(n^2), Average(n^2), Worst(n^2)Quick Sort with a median of three implementation: Best(nlog(n)), Average(nlog(n)), Worst(nlog(n))Insertion Sort: Best(n), Average(n^2), Worst(n^2)Bubble Sort: Best(n^2), Average(n^2), Worst(n^2)Selection Sort is the only one which fits the requirements even if it's not the best algorithm in general2019 Week 7(a) slide 5
",
"The following pseudocode shows a function ""traverse"" that recursively performs a tree traversal algorithm to print the tree values. What is the name of the traversal?traverse(node) if (node == null) return traverse(node.left) traverse(node.right) print(node.value)
","Pre-order
","Level-order
","Post-order
","In-order
",,"Pre-order - current, left, rightIn-order - left, current, rightPost-order - left, right, currentLevel-order - visits every node on a level before moving down
",
"What is the best, average and worst time complexity of shell sort?
","Best: O(nlog(n)), Average: O(n^2), Worst: O(n^2).
","Best: O(nlog(n)), Average: O(nlog(n)), Worst: O(nlog(n)).
","Best: O((n^2)log(n)), Average: O(n), Worst: O(n^2).
","Best: O(nlog(n)), Average: Varies, Worst: O(n^2).
","Best: O(n), Average: O(n), Worst: O(n^2).
","2019 week5a slide 10 gives links
",
"Which of the following sorting algorithms does not have an average time complexity of nlogn?
","Quick Sort with a median of three implementation
","Heap sort
","Merge sort
","Shell sort
","Quick sort with a guaranteed median as a pivot
","Shell sort has an average complexity of O(n1.25).
",
"Between the following statements,which better explains the difference between an Open Hash Table and a Close Hash Table?
","A Close Hash Table can only store a fixed number of itemsAn Open Hash Table can be expanded when needed to store more items
","A Close Hash Table has a fixed number of buckets in which items can be storedAn Open Hash Table has a fixed number of buckets which contains other data types, like a linked list, in which items with the same hash code will be stored.
","An Open Hash Table can only store a fixed number of itemsA Close Hash Table can be expanded when needed to store more items
","An Open Hash Table has a fixed number of buckets in which items can be storedA Close Hash Table has a fixed number of buckets which contains other data types, like a linked list, in which items with the same hash code will be stored.
",,"See slides of the lecture 10b
",
"Which of the following sorting algorithms has an average time complexity ofT(n)=nlog(n) and space complexityT(n)=n?
","Heap Sort
","Stooge Sort
","Insertion Sort
","Merge Sort
","None of the above
","Heap Sort has a space complexityT(1).Insertion Sort has an average time complexityT(n^2).Stooge Sort is incredibly slow with time complexity higher than n^2.Merge sort has a time complexity of T(nlogn) and space complexity ofT(n) as it needs a temporary array for storing the sorted lists.
",
"Which of the following trees is a legit binary search tree containing the numbers (2,7,9,12,18,23,26,37,43,75)? Represented in PRE-ORDER traversal!
","26, 12, 7, 2, 9, 18, 23, 43, 37, 75
","26, 12, 43, 7, 18, 37, 75, 2, 9, 23
","2 ,7, 9, 12, 18, 23, 26, 37, 43, 75
","26, 43, 7, 2, 9, 18, 23, 12, 37, 75
","2, 9, 7, 23, 18, 12, 37, 75, 43, 26
","A) Pre-order traversalB) In-Level traversalC) In-order TraversalD) Not a legitimate binary search treeE) Post-order Traversal
",
"Given this graph:How many paths of length 2 or less are there from vertex C to F?
","0
","1
","2
","3
","4
","If you make the adjacency matrix for this graph then square it you get a 1 in the (3,5) slot on both meaning there is one path of length one and one path of length two so adding these gives 2 paths of length 2 or less.
",
"Consider a hash table of size seven, with starting index zero, and a hash function (3x + 4)mod7.Assuming the hash table is initially empty, which of the following is the contents of the table when the sequence 1, 3, 8, 10 is inserted into the table using closed hashing?Note that �_� denotes an empty location in the table.
","1, 8, 10, _, _, _, 3
","8, _, _, _, 3, 1, 10
","1, _, _, 10, 8, _,3
","1, 10, 8, _, _, _, 3
",,"Let us put values 1, 3, 8, 10 in the hash of size 7. Initially, hash table is empty- - - - - - -0 1 2 3 4 5 6The value of function (3x + 4)mod 7 for 1 is 0, so let us put the value at 01 - - - - - -0 1 2 3 4 5 6The value of function (3x + 4)mod 7 for 3 is 6, so let us put the value at 61 - - - - - 30 1 2 3 4 5 6The value of function (3x + 4)mod 7 for 8 is 0, but 0 is already occupied, let us put the value(8) at next available space(1)1 8 - - - - 30 1 2 3 4 5 6The value of function (3x + 4)mod 7 for 10 is 6, but 6 is already occupied, let us put the value(10) at next available space(2)1 8 10 - - - 30 1 2 3 4 5 6
",
"What is a Balance Factor used for in an AVL Tree?
","If all child nodes are at the same level
","What rotation to make.
","When the last rotation occured
","If the tree is unbalanced
",,"Answer: DThe balance factor (BalanceFactor = height(left-sutree) - height(right-sutree)) is used to check if the tree is balanced or unbalanced.
",
"What is the runtime of the following code ?for (int i=1; i<n; i=i*2) System.out.println(�hello�);for (int j=1; j<m; j++) for (int k=1; k<10; k++) for (int l=1; l<j; j++) System.out.println(�CM20254�);
","
","
","
","
","None of the above
","The answer is D since the first for loop is on its own and has complexity log(n) we then add on the complexity of the nested for loops which has complexity m^2.
",
"Which of these trees is NOT AVL balanced?
","
","
","
","
",,"The balance factor for all nodes must be either +1,-1 or 0 for an AVL tree. The balance factor for the root in C is 2.
",
"Which of the following is a graph representation?
","Linked list
","Array list
","Adjacency List
","B+ Tree
","Directed Graph
","Week 9a - graphs lecture; slide 12.
",
"Which of the following is pre-image resistance?
","It is hard (as hard as Birthday Paradox attack ~ 2n/2)to find two messages m1 m2 with h(m1) = h(m2).
","Given v, it is hard (~ 2n)to find m with h(m) = v
","Given m2, it is hard (~ 2n)to find m1 m2 with h(m1) = h(m2).
","The probability of a collision in a hash table is always < 0.1
",,"Week 11-a post slide 16.https://moodle.bath.ac.uk/pluginfile.php/1454603/mod_resource/content/0/Week11a-post.pdf
",
"Take the following list of numbers:13, 214, 24, 63, 46, 153If you were to apply a shell sort to this list, where h = 4, 2, 1, how many swaps take place to reach the sorted list:13, 24, 46, 63, 153, 214
","4
","5
","6
","10
",,"It would take 5 swaps to completely sort this list, therefore the correct answer is B.This sort could also be done in 5 swaps using a bubble sort. This fact may have benefitted you if you understand the process of a shell sort.The process of a shell sort can be understood using slides 3-7 of the 2019 lecture slides called ""Week5a-Powerpoint"" available on Moodle.
",
"Accuracy and precision are two important factors to consider when taking data measurements.What are the correct definitions of accuracy and precision?
","Accuracy is how close a value is to its true value.Precision means the level of detail at which data is stored.
","Accuracy means there is a lack of bias in the data.Precision is how repeatable a measurement is.
","Accuracy is how close a value is to its true value.Precision is how repeatable a measurement is.
","Accuracy is how repeatable a measurement is.Precision is how close a value is to its true value.
","Accuracy means the level of detail at which data is stored.Precision means there is a lack of bias in the data.
","Accuracy is how close a value is to its true value.Precision is how repeatable a measurement is and is measured using the standard deviation of the measurements X1, � , Xn.This information can be found on Moodle:Slides 8 and 9 of the Week1b-Powerpointv2 powerpoint.
",
"What is the formula to calculate the load on a hash table?
","
","
","
","
","L is always in the range of 0 to 1
","The answer is A.Look at moodle powerpoint Week10b-HashtablesALL
",
"Which answer is always TRUE for Linked Lists?
","When adding to Linked Lists, if they have a tail reference, they need to be resized.
","Linked Lists are always faster than array lists at getting to an element in the list/array respectively.
","In a Linked List, the best and worst case runtime for the operation add(o) is the same.
","All Linked Lists always have amortised runtimes of n for insert(o,i) and remove(i).
","Linked Lists are probabilistic lists.
","A. Linked Lists never need to be resized before an operation. When a Linked List is added to, regardless of whether it has a tail reference, the list does not need to be first resized.B. Array Lists find the nth element in one step. Linked Lists find the nth element in n steps. They only take the same length of time are when you are finding the first element.C. This is true, they both have a run time of 1.D. This is not always true. If a Linked List has a reference to the (i-1)th element, then the amortised runtime is 1.E. This is only true for skip lists.
",
"Management has asked you to change a closed hashtable to an open hashtable. It currently has a load factor of 0.75.What is the change in the average number of steps to find a bucket after you change the hashtable?Answer is: open av. - closed av, can be positive or negative
","+2.5, Increase
","-1.375, Decrease
","-1.125, Decrease
","+1.375, Increase
","None of the above
","2019 Week 10b-HashtablesAll, Slides 31-32. Using the equations for average number of steps for closed and open hashtables with the 0.75 load factor we find closed av. = 2.5 and open av. = 1.375. So the change is 1.375-2.5 = -1.125 steps
",
"Which of these sorting algorithms requires additional working space?
","Bubble sort
","Merge sort
","Heap sort
","Selection sort
",,"Merge sort has a worst case space complexity of O(n), while bubble sort, heap sort and selection sort have worst case space complexities of O(1)
",
"An algorithm has runtime, what is the asymptotic time complexity of this algorithm?
","
","
","
","
","None of the above
","The answer is C since the most significant term in the runtime is n^4. Explained in Lecture Week2b
",
"Choose the correct answer below that completes the definition of Amortised runtime analysis._______ runtime for a Data Structure operation when using it many times starting from an empty Data Structure.
","Best
","Average
","Worst
","None of the above options complete the definition correctly
",,"Stated in the lectureWeek3a-TF-Arrays lists edit, slide 14
",
"An abstract data type can be described as ""a coordinated group of ____, ____, and ____ that is used to solve a particular problem"". Which of the following options would be an incorrect choice to fill one of the blanks?
","interface functions
","networks
","algorithms
","data structures
",,"week 2a, lecture02-ADTs, slide 18""a coordinated group of data structures, algorithms, and interface functions that is used to solve a particular function""
",
"Order the complexities from lowest to highest growth rate:a = log(n)b = n log (n)c = (log(n))^2d = sqrt(n)e = 2^nf = n^3g = n
","a, b, d, g, c, f, e
","g, a, b, d, f, c, e
","a, g, b, c, d, f, e
","a, c, d, g, b, f, e
","g, a, c, e, d, b, f
","The order is:Logarithmic: log(n)Logarithmic-squared: log2(n)Square root: sqrt(n)Linear: nLogarithmic: nlog(n)Cubic: n^3Exponential: 2^n
",
"Which of the following is an AVL Tree:
","
","
","
","
","None of the Above
","A) Look at the node with element 4. The left subtree has height 0, whereas the right subtree has height 2, so it is unbalanced and thus not an AVL tree.B) Left subtree of root has height 2, whereas right subtree of root has height 0 => unbalanced => not an AVL TreeC) Height of subtrees doesn't differ by more than one at any node, smaller elements always on left, larger elements always on right.D) 6 < 7, but is on 7's right subtree.E) C is an AVL tree.
",
"Insert the following numbers lexicographically in an AVL tree: {5,20,8,9,3,11,4,65,85,35,15,1}.What is the in-order transversal of the tree?
","5, 20, 11, 1, 15, 35, 3, 4, 8, 65, 9, 85
","5, 20, 8, 11, 3, 65, 9, 1, 15, 4, 85, 35
","1, 11, 15, 20, 3, 4, 35, 5, 65, 8, 9, 85
","1, 11, 15, 20, 3, 35, 4, 5, 65, 8, 85, 9
","1, 15, 3, 4, 85, 11, 35, 65, 9, 20, 8, 5
","Below is the balanced AVL tree: 5 / \ / \ 20 8 / \ / \ / \ / \ 11 35 65 9 / \ / \ / / \ / \ / 1 15 3 4 85
",
"What is the time complexity of the following code:
","O(nLogn)
","O(n/2)
","O(n^2)
","O(n^2Logn)
",,"It is O(nLogn) becausej keeps doubling until it is less than or equal to n. Therefore, the inner loop has log(n) steps. The outer loop has n/2 steps. As a result,total steps = O(n/ 2 * log(n)) = O(nLogn).
",
"What is a balance factor in an AVL tree used to check?
","What sort of rotation to make.
","If the tree is unbalanced.
","The height of the tree.
","If all child nodes are on the same level.
",,"The balance factor(left sub-tree height � right sub-tree height) is used to check if the tree is balanced or unbalanced. It is balanced if the balance factor is either 1, 0, or -1. Otherwise, it is unbalanced.
",
"Consider the below BST, which is not a complete binary tree. Remove the root node 3 correctly, as described in lectures, then rebalance the tree as a complete binary tree according to the below definition. Which of the following statements describes the unique resulting tree?The definition of a complete binary tree is to be a binary tree in which every level, except possibly the last, is full, and all nodes on the lowest level are as left as possible.
","The root node is 2, and the leaves are 1, 5, and 7.
","The root node is 5, and the leaves are 1, 4, and 6.
","The root node is 5, and the leaves are 1, 4, and 7.
","The root node is 6, and the leaves are 1, 4, and 6.
",,"To remove a node with two children, it should first be replaced with another, and then that node should be removed. There are two possible nodes to replace such a node with: the left subtree's rightmost (largest-valued) child, or the right subtree's leftmost (lowest-valued) child. In this example, these are the nodes 2 and 4 respectively.Considering first node 2. Replacing the root node 3 with 2, then removing node 2 produces the following:This is unbalanced, and therefore also not complete. In order to make the tree complete, we must rearrange the nodes so that the minimal number of levels is achieved, and so that all nodes are leftmost on the lowest level. This produces the following:The tree is now balanced and a complete binary tree. We can see that the root node is 5, and the leaves are 1, 4, and 6, therefore this is the correct answer.If we consider now node 4, we must replace the root node 3 with 4, and remove node 4. This produces the following:Although the number of levels is now minimal, again, it is not a complete binary tree. For the tree to be complete, the 'gap' must be rightmost on the lowest level. Rearranging as such produces this:As you can see, this is identical to the result produced after rebalancing the tree in the case when 2 was considered above. Thus, again we reach the answer that the root is 2, and the leaves are 1, 4, and 6, and so we can see that the solution is unique.
",
"What is the average case and worst case runtime when searching for a value in a binary search tree with N values?
","Average:?(log N)Worst:?(N)
","Average: ?(log N)Worst: ?(log N)
","Average: ?(N)Worst: ?(N2)
","Average: ?(log N/2)Worst: ?(N)
",,"Week8a-Trees2 slide 12
",
"log212! = 28.8355. What is the minimum number of comparisons needed to sort 12 items?
","28
","29
","30
","31
","33
","Week 5a slide 8
",
"Given a particular load factor L for a closed hash table with linear probing, on average, how many steps does it take to find an item?
","�(1+ 1/(1-L))
","1 + L/2
","L
","None of the above.
",,"Week 10b Hashtables, page 31. (pptx)
",
"Let f (n) and g(n) be two real-valued functions defined on the positive integers.If there exist positive numbers b and B, such that |f(n)| = B|g(n)| for all n = b,which of the following is true?
","f (n) ? T(g(n))
","f (n) ? ?(g(n))
","f (n) ? O(g(n))
","None of the above.
",,"We say that f is of order at most g (written�f (n) ? O(g(n))�) if there exist positive numbers b and Bsuch that|f (n) | = B|g(n)| for all n = b.Week1a.pdf on moodle.
",
"The following text describes a type of tree traversal: - Process current node - Process nodes in the left sub-tree - Process nodes in the right sub-treeWhich of the following traversals does the above describe?
","Post-Order Traversal.
","Pre-Order Traversal.
","In-Order Traversal.
","Level Order Traversal.
","None of the above.
","Below is example code for printing out the data in all the nodes in a tree using the pre-order traversal:void preOrder(Node current) { if (current == null) { return; } System.out.println(current.data); //This is recursive so all the nodes in the left sub-tree will be processed first preOrder(current.left); preOrder(current.right);}
",
"What is the output of the pre-order traversal of the AVL tree which started empty and had the following elements inserted in this order:6, 43, 11, 23, 9, 15
","6, 43, 11, 23, 9, 15
","11, 6, 9, 23, 15, 43
","9, 6, 11, 23, 15, 43
","23, 11, 15, 9, 6, 43
","11, 9, 23, 15, 6, 43
","6 is entered, balanced43 is entered, balanced11 is entered, unbalanced --> LL rotate, now balanced23 is entered, balanced9 is entered, balanced15 is entered, unbalanced --> R rotate on '43' subtree, now balancedPre-order traversal as described in 2019 Lecture 13
",
"A graph in which all edges go from one vertex to another in a specific direction is known as what?
","Arrow Graph
","Pointer Graph
","Directed Graph
","One-Way Graph
","None of the above
","Directed graph is just what is it called (See 2019 Lecture 17)
",
"Finish the name of this module:Data Structures and _____
","Apples
","Absolut Vodka
","Jeffrey Epstein Didn't Kill Himself
","Algorithms
","Abstractions
","While C is factually accurate, D is the correct answer because the name of this course is Data Structures and Algorithms.
","samuelth (sth35)
"
"Finish the name of this module:Data Structures and _____
","Apples
","Absolut Vodka
","Jeffrey Epstein Didn't Kill Himself
","Algorithms
","Abstractions
","While C is factually accurate, D is the correct answer because the name of this course is Data Structures and Algorithms.
","samuelth (sth35)
"
"In a hash table with 600 slots, after how many insertions is there likely to be (i.e. with probability 0.5 or greater) a collision?
","300
","30
","7
","29
","28
","The explanation for this is alongside the Birthday Paradox (2019 Week 10b - slide 12). A collision is likely after approximately (3.s.f). Therefore 29 insertions are necessary.
",
"Within a singly linked list, what are the values stored at each node?
","A pointer to the next nodeAn array of elements
","A pointer to the next nodeA pointer to the previous nodeAn element
","An array of pointers, containing a pointer for each level in the list.An element
","A pointer to the next nodeAn element
",,"A singly linked list works in one direction and at one level. Each node contains its information in the element and has a single pointer that directs to the next node when traversing the list.
",
"A software developer created an algorithm to print all the nodes in a tree. This algorithm is used on the following tree: M / \ B P / \ / \ A D N ZIf the algorithm prints A B D M N P Z, what is the traversal order used by the software developer?
","Post-Order Traversal
","In-Order Traversal
","Pre-Order Traversal
","Level-Order Traversal
",,"for explanation check week 7b slides (first lecture about trees)
",
"Insert 28, 29, 16, 9, 34, 8, 20 in order into an empty AVL Tree. What are the leaf nodes after rebalancing to satisfy the AVL Condition?
","8, 20, 34
","9, 8, 16
","20, 34, 9
","9, 16, 29
","None of the above
","Add into the tree as normal (smaller than goes left, larger than goes right).The rebalancing problem comes once we add 8 to the tree, where the node (16) becomes unbalanced. Perform a single left rotation on the node and finally add 20.The leaves are 8, 20 and 34.
",
"What is the minimum number of comparisons required to sort any permutation of 7 integers?
","11
","12
","13
","14
","15
","It has been proven that the smallest number of comparisons is 13 for 7 objects. This is done by merge sorting 5 items and adding 1 then adding 1 again.
",
"Which tree traversal outputs the letters in alphabetical order?
","In-Order Traversal
","Post-Order Traversal
","Level-Order Traversal
","Pre-Order Traversal
",,"In-Order : d,b,e,a,f,c,gPost-Order : d,e,b,f,g,c,aPre-Order : a,b,d,e,c,f,gLevel-Order : a,b,c,d,e,f,g
",
"What is the difference between a singly linked list and a skip list?
","A skip list has both a next and previous pointer.
","A skip list has multiple lanes to allow for faster searching.
","A skip list has a tail pointer.
","A skip list has child nodes to allow for faster searching.
","A skip list has the head pointing to the center node.
","A skip list contains multiple lanes, a slow lane containing all of the nodes stored in a singly linked list way as well as faster lanes that have less elements in them to allow for faster searching.
",
"You've just started work at a long standing Technology company and your first project is to update old legacy data structures. You are given a closed hash tablewith linear probing containing identification numbers that is no longer being used, but is going to be archived due to its sensitive nature.You are tasked to copy this data into an array for archiving, but first the Load factor needs to be calculated.The closed hash table has 10,000 keys stored in it and you are told any item can be accessed in 3 steps on average. What is the Load Factor?
","0.6
","0.7
","0.8
","0.9
","None of the above
","The Load Factor is defined as:L = (Max number of keys)/(Total number or buckets).The average number of steps to find an item in a closed hash table with linear probing is given by .Setting this equation to equal to 3 gives a Load Factor of 0.8.
",
"You wish to use open hashing (where each array slot contains a pointer to a linked list). The hash function has the form h(x) = x % 6 and the hash table has slots 0, ... , 5. If you insert the elements 5, 6, 7, 9, 15, 21, 22, 61 in that order, what is the minimum list length at the end?
","0
","1
","2
","3
","None of the above
","For the elements5, 6, 7, 9, 15, 21, 22, 61 the open hash table will look like:0: 61: 7 612:3: 915214: 225: 5the 2 slot points to no values hence minimum list length is 0.
",
"An algorithm has runtime T(n) = 0.00149n14+ 100n2+ 48nlog(n) for input of size n. What is the asymptotic time complexity of this algorithm?
","
","
","
","
","None of the above
","Leading term is ,hence its asymptotic upper bound cannot be anything less than .Therefore A,B,D are incorrect. D is correct since this is an upper bound (but not exact bound) to T(n).
",
"What would the output of the following binary search tree using pre-order traversal look like?
","30, 15, 7, 22, 17, 27, 60, 45, 75
","7, 15, 17, 22, 27, 30, 45, 60, 75
","7, 17, 27, 22, 15, 45, 75, 60, 30
","7, 15, 17, 27, 22, 30, 60, 75, 45
",,"A) is pre-orderB) is in-orderC) is post-orderD) is random
",
"In the context of an AVL Tree, AVL stands for:
","Audio Video Library
","Adelson-Velskii and Landis
","Absolute Value List
","Adelson Vilgefortz and Loch
","Amateur Vascularity Listing
","B is the correct answers.AVL trees were named after two Soviet computer-scientists:Georgy Maximovich Adelson-Velsky andEvgenii Landis..
",
"Imagine you are a software engineer a Honda. Your boss asks you to implement a probabilistic skip list in Java with the probability of a new node being added to each lane decreasing by a factor of 0.5 for each lane as the lane number increases. However, due to lack of server space, she says that you may not use any arrays of size greater than 10 when defining the set of pointers for each node. Roughly how many items can this skip list hold before it can no longer be considered binary search when searching for nodes?
","10
","200
","512
","1024
","2048
","Week3b-TFLinkedlistsedit. Each node can only have 10 pointers, therefore there can only be 10 lanes (0-9). The 9th lane can skip 29(512)nodes. Therefore, for lists of size greater than 1024, the 9th lane will skip less than half of the nodes and is no longer binary search.
",
"What is one disadvantage of using a Hash Table with a small load L?(say, for L < 0.2)
","It is more likely that collisions will occur when inserting a new item.
","Searching for an item takes longer.
","You can't delete an item.
","A lot of memory is wasted.
","None of the above.
","See 2019 Lecture ""Week10b - HashtablesAll""
",
"Select the correct differences between a B-Tree and a B+ Tree?
","Unlike a B-Tree, a B+ Tree is self-balancing allowing deletion and insertion to more efficient.
","Unlike a B-Tree, a B+ Tree only contain key values in the internal nodes and only at the leaves do they contain both the key value and data pointer.
","Unlike a B-Tree, all the leaves on the B+ Tree are at the same depth, thus helping with the abilitly of the B+ Tree being self-balancing.
","Unlike a B+ Tree, a B-Tree is generally used to minimize disk reads and so the size of each node is typically the size of the disk block whereas a B+ Tree is used in main memory.
",,"A B+ Tree is a variation of a B-Tree that increases efficiency by reducing the data stored in each node. A B-Tree is a self-balancing BST that can hold more keys and children nodes than a normal BST. Note that B-Tree must also have leaves at the same depth. See Week8b - Trees3 Slide 29&30.
",
"Consider average time complexity for each search algorithm.Select the only true statement.
","Array List search and Linked List search have the same average performance of O(n)
","Array List search is faster than Linked List search, with Array List O(n) and Linked List O(n^2)
","Array List search is slower than Linked List search, with Array List O(n^2) and Linked List O(n)
","Array List search is faster than Linked List search, with Array List O(1) and Linked List O(n)
","None of the above
","ArrayList search is O(1) because it can access the i'th element in the array in constant time.Linked List search is O(n) because it must check each item from the beginning, and traverse the list element by element until it finds a match. Hence on average it will be doing n/2 comparisons which is O(n).
",
"Suppose I have a Close Hash Table with load L, and it takes me on average 1.15 steps to find an item in the table. What is the value of L (to 2 sig.fig.) ?
","0.40
","0.16
","0.23
","0.53
","0.22
","The average number of steps needed to find an item for a Closed Hash Table with load L is:# of steps =1/2(1 + 1/(1-L))Setting the above equation equal to 1.15 and rearranging, gives us L = 0.23.2019 Lecture ""Week10b""
",
"Which of the following statements is False?
","Open Hash Tables are generally more efficient than Closed Hash Tables.
","You can delete entries in a Closed Hash Table
","A good hash function disperses entries evenly across the array.
","The average number of steps to find an item in an Open Hash Table with load L isNumber of steps = 1+ L/2
",,"Correct answer is B. Deleting an item in a Closed Hash Table may result in the search algorithm terminating prematurely ( for example, if you delete an item that had collisioned when entered to the table).See 2019 Lecture ""Week10b - HashtablesAll""
",
"Consider the following doubly linked list:HEAD - one - two - three - four - five - TAILwhere one is a Node object with integer value 1, prev = HEAD, next = two. This object type is similar for the remaining nodes.What will the list be after performing the following operations:Node temp = New Node(value=7, prev=one, next=three)one.next = temp;three.prev = temp;
","HEAD - one - two - temp - four - five - TAIL
","HEAD - one - two - temp - three - four - five - TAIL
","HEAD - one - temp - three - four - five - TAIL
","HEAD - one - two - three - four - five - temp -TAIL
","None of the above
","The temp node is made with forward pointer to node three, and prev pointer to node one.one.next is updated to temp, hence 2 has been removed.three.prev is updated to temp, which removes the backwards pointer to the node two.
",
"What is the runtime for the following code?for (int i = 1; i < n; i=i*2){ System.out.println(""Data Structures "");}for (int j = 1; j < n; j++){ for int k = 1; k < 5; k++){ System.out.println(""and Algorithms""); }}
","T(n)
","T(n^2)
","T(n log n)
","T(log n)
",,"As we increase the n value, the amount of operations happening increases proportional to the number of n .
",
"An application for a supermarket checkout needs to store products with their serial numbers, and the application must be able to quickly find the product linked to the serial number which has been scanned by the cashier.Should the serial number of the product change, the application should also be able to quickly change the serial number associated with the relevant product. Which of the following data structures would be most appropriate to store the products and serial numbers in memory?
","Linked list
","Open hashtable
","Closed hashtable
","Sorted array
","Sorted ArrayList
","Open hashtable is the preferred ADT as they are the most efficient in searching/editing key value pairs.
",
"Alice sets up an RSA encryption and sends Bob all the necessary components to send her an encrypted message. What does bob need to compute to encrypt his message?Where m is the message Bob wishes to encrypt,N and t are Alice's public key?
","c = mt(mod N)
","c=m/(tN)
","c=mNmod(t)
","c=m(t/N)
",,"See Week 11b
",
"Using open hashing with ahash function of the form h(x) = x % 7 and a hash table with slots 0, �,6, if you insert the elements 15, 7, 22, 8, 19, 31, 30, 29, 40, 81 in that order, what is the maximum list length at the end?
","1
","2
","3
","4
","5
","The hash table would look as following:0: 7, 811: 15, 22, 8, 292: 303: 314:5: 19, 406:
",
"A quadratic time algorithm uses 70 elementary operations to process an input of size 20. What is the predicted number of elementary operations it will use for an input of size 200?
","700
","7000
","70000
","700000
","7000000
","The input size has increased by a factor of 10. Since it is a quadratic function, the number of elementary operations will increase by a factor of 10^2.
",
"Given the unsorted listed 15,3,6,5,19,4,10 how many passes of quick sort are needed to sort the list?
","3
","4
","5
","7
",,"15,3,6,5,19,4,10 under lined numbers are the pivot, and bold number are sorted.3,6,5,4,10,15,19 first pass 3,6,5,4,10,15,19 second pass3,5,4,6,10,15,19 third pass3,5,4,6,10,15,19 fourth pass3,5,4,6,10,15,19 fifth pass
",
"Consider a closed hash table, with linear probing, with 4 buckets: [0,1,2,3]Where a ""Value"" is input and the ""Bucket"" the value is placed into is decided by the hash function:Bucket = (Value+1) %4(Also written as : Bucket = (Value+1) mod 4 ).What is the final array, when 7,13,9,5 are added in the order specified.
","[5,7,9,13]
","[7,5,13,9]
","[7,13,9,5]
","[13,5,9,7]
",,"1st addition : (7+1)mod 4 = 0 therefore place 7 in position 0. [7,,,]2nd addition: (13+1)mod 4 = 2 therefore place 13 in position 2. [7,,13,]3rd addition: (9+1)mod 4 = 2 therefore 9 belongs in position 2, however there is already a value in position 2 so place in the next available spot. place 9 in position 3. [7,,13,9]4th addition: (5+1)mod 4 = 2 therefore 5 belongs in position 2, however there is already a value in position 2 so place in the next available spot (at end of array wrap around to the start). place 5 in position 1. [7,5,13,9]
",
"What is the minimum number of comparisons to sort 9 items?
","17
","19
","20
","21
",,"See Week 5a Sorting and Visuliser notes
",
"Which of the following statements is true?
","On average it will take fewer steps to find an item in a closed hash table with a load factor of 0.1 than an open hash table with a load factor of 0.1.
","On average it will take more steps to find an item in an open hash table with a load factor of 0.9 than a closed hash table with a load factor of 0.7.
","If i have at most 73 items I want to insert into my hash table with 365 buckets, my load factor will be 0.2.
","I will need at least 66 buckets in my hash table if I have at most 45 elements to insert and want a load factor of 0.6 or less.
",,"2019 week10b slides 30-33.
",
"In the first step of the RSA encryption process, the following are chosen or computed by Alice:- p,q = large primes- N = pq- s = relatively prime (i.e. coprime) to (p-1)(q-1)- t = chosen such that st = 1 (mod (p - 1)(q - 1))Which of the following are published to be received by Bob.
","st
","N, t
","p, q
","m^t (where m is her message)
",,"Week11(b) Slides 12 and 13.N and t are published. Bob then encrypts his message m by calculating c = (mod N) and publishing c.Alice can then calculate . As theRivest�Shamir�Adleman (RSA) corollary states thatIf N = pq with p, q distinct primes and k = 1(mod (p - 1)(q - 1)), then x^k = x (mod N).
",
"Consider the following hypothetical situation:You have a sorting algorithm which uses quicksort 50% of the time, and insertion sort 50% of the time, on average. n input lists arrive such a given list is already completely sorted with probability x, and the rest are random.Give an equality for x in terms of n for when this approach will be quicker than always using Selection sortYou may refer to the below:(Note that because of the hypothetical nature of the question, the answer may seem counter-intuitive, but will make mathematical sense)
","
","
","
","
","
","The average runtime for our method considering the different cases where the list is/isn't sorted is:We want to find where this is less than selection sort, which is expanding and multiplying by two, we have:so our final answer is:
",
"When you multiply an adjacency matrix by itself, what does the resulting matrix tell you?
","Defines the maximum path between each vertex.
","Defines the minimum path between each vertex.
","Defines which vertices are exactly two edges apart from each other.
","None of the above
",,"From lecture 9)b) panopto.""Graphs1TF"" Powerpoint slide 10.
",
"You work for Spotazon music, and have been asked to implement a data structure to store music playlists. Users will want to be able to easily add/remove tracks from any point in the playlist, and they should be able to skip forward/skip backwards a track. Your brief is to use a data structure that will maximise the speed of these functions. Which of the following data structures would be most appropriate.
","Singly-Linked List
","Array
","Doubly-Linked List
","Heap
","AVL Tree
","The doubly linked list has forward and back pointers, so the speed of traversing the tracks in either direction will be optimal. Furthermore, inserting/deleting to a specified point is fast (THETA(n)) [see Week 3b-TFLinkedListsedit on moodle].
",
